suburb,OctDec20,JanMar2021,AprJun2021,JulAug21,OctDec21
MOORABBIN,1160000,1274500,1318000,1377500,1455000
MOOROOLBARK,730000,771100,823000,852500,891000
MORDIALLOC,1282500,1320000,1500000,1291800,1502500
MOUNT WAVERLEY,1261500,1430000,1525000,1555500,1552500
MULGRAVE,903000,955000,990000,1040000,1065000
MURRUMBEENA,1375000,1615000,1635000,1676500,1700000
NARRE WARREN,623500,642000,692500,720000,740000
NEWPORT,1125000,1150000,1333500,1408800,1310000
NOBLE PARK,725000,752000,760000,735000,770000
NORTH MELBOURNE,1194000,1315000,1440000,1045000,1397500
NORTHCOTE,1423500,1587000,1657800,1748500,1695000
NUNAWADING,1115000,1143000,1283000,1302500,1261500
OAK PARK,955000,965000,1025000,1161000,1235500
OAKLEIGH,1350500,1311000,1421000,1240000,1462500
OAKLEIGH SOUTH,1049000,1159000,1100000,1218900,1200000
ORMOND,1515000,1810000,1825000,2080000,2072500
PAKENHAM,543000,572000,585000,602000,635000
PARKDALE,1215000,1500000,1412500,1527500,1599000
PARKVILLE,2440000,1546000,2200000,1705000,2430000
PASCOE VALE,972500,1055000,1050000,995000,1062500
PATTERSON LAKES,1128000,1290000,1012500,1430000,1500000
PLENTY,1203800,1670000,1167500,1380000,1725000
POINT COOK,694500,710000,729000,716500,770000
PORT MELBOURNE,1592500,1773500,1770000,1651000,1905000
PRAHRAN,1688500,1750000,1900000,1767500,1855000
PRESTON,1080000,1155000,1200000,1342500,1318000
RESERVOIR,810000,891500,915000,970000,980000
RICHMOND,1405000,1380000,1461000,1510000,1510000
RIDDELLS CREEK,690000,740000,767500,955000,957500
RINGWOOD,900000,958000,1005000,1018000,1080000
RINGWOOD EAST,850000,947500,1120000,1014000,1085500
RINGWOOD NORTH,1015500,1035000,1200000,1161000,1240000
ROSANNA,1160000,1283800,1325000,1520000,1416500
ROWVILLE,867500,907000,953400,1065000,1122500
ROXBURGH PARK,580000,580000,625000,606500,640000
SANDRINGHAM,1852500,2065000,2500000,2390000,2412500
SCORESBY,816500,890000,960000,930000,1056000
SEAFORD,728000,810000,850000,850000,903000
SEDDON,1054500,1065000,1210000,1282500,1200000
SOUTH MELBOURNE,1685000,1635000,1700000,1500000,1750000
SOUTH MORANG,636000,670000,731500,737000,755000
SOUTH YARRA,2080000,2142500,1888000,2100000,2475000
SOUTHBANK,NA,NA,NA,NA,NA
SPOTSWOOD,970000,1029000,1230000,1405000,1227500
SPRINGVALE,820000,849000,850000,866600,852500
ST ALBANS,600000,640500,680000,685000,712000
ST KILDA,1376000,1400300,1615000,1720000,1695000
STRATHMORE,1393800,1411000,1667500,1595000,1600000
STRATHMORE HEIGHTS,825000,1210000,1012500,850000,915000
SUNSHINE,750000,843000,848000,870000,917500
SUNSHINE NORTH,702600,711200,720000,748000,770000
