"","suburb","Population","Separate_house","Semi_detached_row","Flat_apartment","other","Postcode","CouncilArea","House_price_mean","Type.x","Primary_School_number","Type.y","Pri_Sec_School_number","Type.x.x","Secondary_School_number","Type.y.y","Special_School_number","Type.x.x.x","Camp_School_number","Type.y.y.y","Language_School_number"
"144","MEADOW HEIGHTS",18081,4442,787,47,0,3048,"Hume City Council",551625,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"145","MELBOURNE",43084,7,48,21559,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","MELTON",40724,12438,1051,72,8,3337,"Melton City Council",457200,"Primary","5","Pri/Sec","1","Secondary","3","Special","1","Camp","0","Language","0"
"147","MENTONE",13221,2482,2099,1028,33,3194,"Kingston City Council",1389625,"Primary","3","Pri/Sec","2","Secondary","3","Special","0","Camp","0","Language","0"
"148","MERNDA",50494,15017,1137,129,5,3754,"Whittlesea City Council",657750,"Primary","3","Pri/Sec","1","Secondary","0","Special","0","Camp","0","Language","0"
"149","MIDDLE PARK",10043,719,2510,902,13,3206,"Port Phillip City Council",3049125,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"150","MILL PARK",28712,8819,981,256,0,3082,"Whittlesea City Council",759200,"Primary","5","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"151","MITCHAM",16795,4063,2090,310,0,3132,"Whitehorse City Council",1219125,"Primary","4","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"152","MONTMORENCY",9250,3088,417,36,0,3094,"Banyule City Council",1132375,"Primary","3","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"153","MOONEE PONDS",16224,3064,1076,2697,17,3039,"Moonee Valley City Council",1540500,"Primary","3","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"154","MOORABBIN",6287,1852,209,345,5,3189,"Kingston City Council",1356250,"Primary","4","Pri/Sec","0","Secondary","1","Special","3","Camp","0","Language","0"
"155","MOOROOLBARK",23059,7673,348,16,5,3138,"Yarra Ranges Shire Council",834400,"Primary","7","Pri/Sec","1","Secondary","2","Special","0","Camp","0","Language","0"
"156","MORDIALLOC",37364,8238,3675,1765,39,3195,"Kingston City Council",1403575,"Primary","2","Pri/Sec","0","Secondary","2","Special","0","Camp","0","Language","0"
"157","MOUNT WAVERLEY",35340,8561,1227,2681,7,3149,"Monash City Council",1515750,"Primary","6","Pri/Sec","1","Secondary","2","Special","0","Camp","0","Language","0"
"158","MULGRAVE",19889,5693,1127,19,4,3170,"Monash City Council",1012500,"Primary","2","Pri/Sec","0","Secondary","2","Special","1","Camp","0","Language","0"
"159","MURRUMBEENA",32810,4677,4113,5248,66,3163,"Glen Eira City Council",1656625,"Primary","2","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"160","NARRE WARREN",58600,16552,1039,236,87,3805,"Casey City Council",698625,"Primary","6","Pri/Sec","0","Secondary","1","Special","1","Camp","0","Language","0"
"161","NEWPORT",18634,4373,2042,452,30,3015,"Hobsons Bay City Council",1300575,"Primary","3","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
